,listing_id,id,date,reviewer_id,reviewer_name,comments,sentence,sentiment
51045,430453,4478614,2013-05-07,724785,Crystal,"Could not have asked for a more perfect location. Accommodations were exactly as pictured. 
Mark + Mary were excellent hosts. The google maps with their favorite places was an awesome addition. They even had a few goodies waiting for me upon arrival. Seamless experience! ",Accommodations were exactly as pictured,1
23471,3656508,20532069,2014-09-30,9057922,Audrey,"Augustin was very welcoming and friendly. The room was very private, comfortable and bright. The attached bath, walk-in closet and small patio were a plus. I had a car, but stores, restaurants and buses were within easy walking distance. A very pleasant and accessible place to stay with a very nice host.",The attached bath walkin closet and small patio were a plus,1
68437,1651324,16246699,2014-07-24,10032383,William,"We stayed at Ross's apt for four nights.  Perfect location and price.  We walked to Pike Market, waterfront, Mariners game, Space Needle, etc.  Coming home is a bit of a climb but no problem.  Yes, there is a quite an I-5 highway right out the window, no denying it, but we also had no problem with that.  Apt was very clean and comfortable.  We never actually met Ross but communication was easy and arrangements worked perfectly.  We would definitely stay again and could easily recommend it.  Thanks Ross!",We walked to Pike Market waterfront Mariners game Space Needle etc,1
29784,7646637,42062596,2015-08-10,40275347,Ralph,"We made this booking at the last minute, about a week before our trip to Seattle. Davis was very responsive to our questions before the visit. He was welcoming and helpful when we arrived, suggesting things roun Fremont that we could do. he also made sure that his home would accommodate us and our three teenage children, cringing in comfortable beds for the kids. We all enjoyed our stay very much. David even offered to wash some of our clothes (which we did not need). I needed to see a doctor on the night of our arrival and David pointed me towards the local hospital. We asked for a shower mat at one pojnt and he provided one instantly. In all, this was a great start to our vacation in Seattle and we'd stay again without hesitation.",In all this was a great start to our vacation in Seattle and wed stay again without hesitation,1
37188,4025593,37292950,2015-07-06,17438670,Julia,"Tiffany's apartment is ideally located: it only takes you a 30min bus ride to downtown Seattle and close to her home you'll find Green Lake which is great for a run or sunbathing on a summer's day. 
Although we did not get to meet Tiffany in person, she took care of everything we needed and made us a warm welcome. Surprisingly we didn't need to care about breakfast but where offered it with strawberries, orange juice and all you need :-). Tiffany provided maps, bus timetables, other brochures and not to forget her great detailed personnel guide to Seattle and her neighbourhood to keep us informed. Thank you again a lot for everything Tiffany! ",Although we did not get to meet Tiffany in person she took care of everything we needed and made us a warm welcome,1
7700,1042022,47095336,2015-09-15,42936945,Eve Holiday,"I was very pleased with our stay at Lene and Johnny's basement apartment.  The apartment is very nicely decorated, comfortable bedding, and access to Netflix was a plus.  Host was very welcoming and also they provided complimentary water bottles, fruit and cheese.  Nice area to take a stroll and stop at local eateries or go by the lake. ",The apartment is very nicely decorated comfortable bedding and access to Netflix was a plus,1
61214,5682,296109,2011-06-03,622403,Mye,"This was our first airbnb experience and it was perfect.  The place is a bit too small for very large luggage, but it's otherwise just fine.  The bed is comfy and the bathroom is really nice with almost all the toiletries you would need.  Maddy has great taste.

We had no problems with street parking, the neighborhood is safe and there are restaurants in walking distance.  We were only in town for a few days for the Seattle International Film Festival.   My boyfriend left a copy of his film Surrogate Valentine in the dvd library in the room.  If you stay there, hope you get to check it out.  :)
",My boyfriend left a copy of his film Surrogate Valentine in the dvd library in the room,0
50118,258571,4549294,2013-05-12,5678600,Nicole,"was a perfect place to call home while I looked for apartments around capitol hill and south lake union. great location, cozy, clean, and comfortable. ",great location cozy clean and comfortable,1
40710,2809796,15983067,2014-07-19,17420064,Deepak,"Wonderful host with quick response and very amenable.  Cottage was nice and clean in a safe neighborhood of West Seattle.  Easy drive to downtown Seattle and all the attractions.  I would definitely stay there again.  Much better than a hotel in that you get a kitchen, refrigerator and nice backyard to sit in the evenings.  ",Much better than a hotel in that you get a kitchen refrigerator and nice backyard to sit in the evenings,1
39712,6343866,46954802,2015-09-14,3554126,Ahmed,"I have to say that this was one of the best airbnb experiences I've ever had.  Firstly, the location is excellent!  Walking distance to the house are a plethora of restaurants, coffeehouses, shops, etc.  Very safe area.  Make sure you walk to Molly Milk ice cream to try their various flavors.  Its under 15 min drive to downtown where all the ""touristy"" spots are.  Walking distance to Fremont neighborhood which has a hip and eclectic vibe to it.  The house itself was exactly as described in the pictures.  What made this so great was Tobin's attention to detail in preparing the apartment for guests.  He has a book which lays out everything you would want to know about the stay, wifi issues, nearby things, etc.  A wonderful guide!  The beddings, bathroom, furnishings, and everything was clean and tastefully decorated (down to the small details like door knobs and bathtub tile).  Due to its separate entrance, you have your utmost security and privacy.  A nice washer and dryer were present as well, along with coffee, electric tea pot, etc.  Very well supplied in terms of amenities and accessories.  I should add that you will hear steps occasionally of people walking upstairs, and a little bit of the backyard chickens in the morning, but it was nothing significant or bothersome.  The host was very communicative; check in and check out were smooth.  Overall, this was an excellent stay.  ",I have to say that this was one of the best airbnb experiences Ive ever had,1
54406,3940265,42398514,2015-08-13,20698959,Keith,"Both Summer and Jay were both very welcoming and provided useful information about the area. The accommodation was very clean and extremely comfortable, the ensuite a real bonus.  Location was handy to transport, food store and restaurants. The cats were very friendly.",The accommodation was very clean and extremely comfortable the ensuite a real bonus,1
21262,5549211,44899959,2015-08-30,34396449,Jared,"This place is great, I highly recommend it to anyone visiting Seattle.  I traveled to Seattle with a friend for a wedding and we were very pleased with our choice to stay here.  The apartment has a very updated and modern touch with plenty of space.  My friend even slept on the pull out couch and he said it was the most comfortable pull out couch he's ever slept on.  Mercy is very accommodating and very responsive when I would email her with questions about the apartment.  She and her family made us feel welcome from the beginning and they even left us some local food to get us started on our first morning.

The surrounding area of Ballard is a lot of fun, there are tons of great restaurants, bars, shops, and even a 24hr grocery store all within walking distance from this location.  When we felt like being ""tourists"" and going downtown to the space needle or visiting the University of Washington we were 4 miles (a short cab ride) from both.

I can't recommend staying in Ballard and at this location enough.",Mercy is very accommodating and very responsive when I would email her with questions about the apartment,1
18505,5548982,40202695,2015-07-29,6004352,Debbie,"We sincerely enjoyed our stay in this charming, vintage apartment in the heart of Seattle's most popular neighborhood, Capital Hill. Many of the city's best restaurants are within walking distance of the apartment. The check-in instructions were very clear and the bed was extremely comfortable! Great view and plenty of windows to open. Parking can be difficult. Overall, we really loved our stay and will be back again next time we visit Seattle! Thank you, Gene!",The checkin instructions were very clear and the bed was extremely comfortable Great view and plenty of windows to open,1
66214,3126153,38678646,2015-07-17,30736125,Blake,The host canceled this reservation 15 days before arrival. This is an automated posting.,The host canceled this reservation 15 days before arrival,-1
11162,2020505,17650299,2014-08-15,961803,Kauakea,"Here are the reason why I genuinely enjoyed my stay at Trish & Patricks place. It's private: you have the place (I consider it a mother-in-law apartment) all to your self and you're provided a key to come and go as you please. Parking: a lot of on street parking but that doesn't matter much when tell you that you can park right in front of the house. Setting: the neighborhood is filled with single family homes were noise is not an issue at all. Fit & Finishes: the materials used inside the in-law apartment and around the home would easily land this place inside of a custom home magazine. Landscaping: you can tell a lot of thought went into were each plant was situation throughout the property and how well they are managed. Location: a minute drive from the 99 which was always void of traffic which takes you right into down town Seattle, and about a 3 minute walk to Queen Anne's shops and restaurant but I wouldn't have noticed this hidden fact if not for Patrick letting me know. Owners: so very friendly, quiet and accommodating making it the most enjoyable part of my stay. ",Landscaping you can tell a lot of thought went into were each plant was situation throughout the property and how well they are managed,1
66978,699460,2755340,2012-10-29,2407529,Yishai,"This was our first AirBnB experience and we could not have been happier. Patti responded to our inquiry within less than 10 minutes and we confirmed the reservation shortly thereafter. 
Staying here allowed us to be within 3 blocks from our event in an area that has few other lodging options. After staying in their studio, we would choose to return even if other options were available.
The space was clean and tastefully decorated with Patti's beautiful art pieces. The bedrooms are up a narrow flight of stairs while the bathroom is right at the bottom of the stairs on the main level.
Patti uses the space as her art studio yet was very respectful of our privacy.
On Sunday morning, a plate of home baked brownies appeared with a lovely note.

We hope to stay at Patti & Benson's studio again soon. 
",Patti responded to our inquiry within less than 10 minutes and we confirmed the reservation shortly thereafter,1
4189,6249458,33296617,2015-05-26,28823034,Yvonne,We were in town from Alaska to deliver twins. Had a great experience at the place. They even bought our toddler a baby to play with to get used to siblings. Very convenient and comfortable. Would definitely recommend to friends and family. Thanks for everything.,Had a great experience at the place,1
79391,353110,15659995,2014-07-13,17736356,Kathleen,"Our stay at the cottage was great! We booked it pretty last minute, but Eric was very accommodating. The place was very spacious for the two of us and really enjoyed the free Netflix. Would definitely recommend!",Would definitely recommend,1
75639,496074,3556324,2013-02-16,3839130,Ted,"Liza's place is really comfortable.  I stayed a week and I'd definitely stay here again when I'm next in Seattle.  Phinney Ridge is a fun neighbourhood, with lots of restaurants and coffee shops.  Liza was really attentive, immediately solving the two small problems I had. The apartment is decorated with a lot of fun art.   And do read the story on page 179 of ""What to Read in the Rain"".",The apartment is decorated with a lot of fun art,1
84392,4577542,55809652,2015-12-06,3532096,Joyce,Easy check in (you're given the code two days prior) and the apartment was exact as described. Great location and walking distance to many restaurants and bars. Would stay here again!,Great location and walking distance to many restaurants and bars,1
47226,585418,21397432,2014-10-16,22034020,Takayuki,"ワシントン大学に５ヶ月間留学する僕は、その開始の４日前から１０日間、アパートを探す間にAngelaの家を利用しました。AirBnBを使うのも初めてで、とても緊張していましたが、Angelaはとても明るく、僕の不安を吹き飛ばしてくれました。自転車を借りると、おすすめのサイクリングコースを教えてくれたり、夜時間があるときは一緒にご飯を作っていろんなことを話したりしました。本当に自分の家みたいで居心地がよく、テラスにあるハンモックも最高でした。Angelaも忙しいので、時期によると思いますが、AirBnBのステイ先でお話をしたいと思うひとにはおすすめです！Angelaは本当に親切で僕の下手くそな英語を直してくれたり、ネイティブの英語を教えてくれました。後悔したくない人はAngelaの家を絶対選ぶべきです！

I stayed in Angela's house for 10days. She is very responsible and reliable person
and nice woman. She taught me speaking English and cooking healthy food and so on. Her house looks like my home and it is very comfortable to stay. We talked about own hometown and boyfriend or girlfriend and a lot of things. I really appreciate Angela, thank you.",She taught me speaking English and cooking healthy food and so on,1
48386,3250577,38060260,2015-07-12,32673882,Colin,"The room was nice and fairly large. It had plenty of room for 2 people and a couple of suitcases. The cat was very friendly and came down to greet us and stayed for a couple of pets. The host was very flexible and made sure everything went smoothly, even accommodated special check-in/check-out times.  ",The host was very flexible and made sure everything went smoothly even accommodated special checkincheckout times,1
39787,5056580,38592998,2015-07-17,15603945,Anne,"All the previous reviews detailed how wonderful the place is and how welcoming Eric is. This is all true! 
The flat is so quiet and well organised - it is also really big and super well-located, half way between downtown and the airport, with easy access the the light rail (5min walk). 
As if this wasn't enough, I must say, the very best thing about this listing is definitely its host: Eric is simply delightful. From the 1st moment I met him, I felt as if I was staying with a friend. He was caring and helpful, without ever being intruding. As I was staying on my own, this was particularly welcome. I knew that if I needed anything, I could just ring or text him. 
I wish I could give 6 stars (******), as this is what Eric deserves.
When I come back this is definitely the place, I'll stay! 
Thank you again this restful stay... 

",This is all true The flat is so quiet and well organised  it is also really big and super welllocated half way between downtown and the airport with easy access the the light rail 5min walk,1
39481,3870253,22028830,2014-10-28,21815123,Jeff,"Steven and Dawn were fantastic hosts! The place is clean & beautiful and the price is more than reasonable. What makes this place stand out is how hospitable the hosts were.

Upon our first arrival, the Steven and Dawn provided us water, juices and snacks. They had good suggestions for places to eat and places to grab drinks. When my phone got wet from a hike, Steven and Dawn provided me with a bag of rice to soak my phone in. Any problems you have, they are quick to accommodate. 

I personally got to spend a bit of time getting to know Steven and Dawn and learned about their backgrounds and their family. If you are planning a trip to Seattle, I would highly suggest this place and definitely plan in a few hours just to get to know your hosts.",If you are planning a trip to Seattle I would highly suggest this place and definitely plan in a few hours just to get to know your hosts,1
81074,1429904,50211647,2015-10-10,31316189,Shannon,This little place was perfect.  It looked just like it did in the pictures.  The location was perfect and the neighborhood was beautiful.,It looked just like it did in the pictures,1
78176,3861673,25874521,2015-01-28,24422156,Donna,"Debbie was the perfect hostess.  Her scones are awesome and the space was just perfect for us.  We were nearby our children/grandchildren and we were in a great neighborhood.  Debbie's recommendations about places for coffee, food, etc, were spot on and we really enjoyed walking to several places.  We will definitely recommend Debbie's air b&b to others traveling up this way and we hope to stay here again too.",Debbie was the perfect hostess,1
40843,1305009,5949175,2013-07-23,5490171,DeeAnna,"Joel and his family were perfect hosts and I had a great stay with them.  From our initial communication to my departure, Joel was always available to answer questions and just to make sure I had what I needed. The actual unit is in a finished basement with a separate entrance.  It was super clean, had a comfortable bed, clean linens, french press which was perfect for my coffee addiction, Wi-Fi, separate lounge area, and cooking essentials. The DeJongs are a lovely, lovely family that respected my privacy and at the same time made me feel very comfortable and cared for.  I was lucky enough to meet the three DeJong children which were little gems of people. 

Having the lightrail a block from the unit was super convenient for getting downtown.  4 blocks away on Ranier street there are plenty of restaurants...my favorites were La Medusa and Tutta Bella.  

I felt very comfortable and safe staying here and it was exactly what I was looking for as I transitioned to a new city and job.  ",my favorites were La Medusa and Tutta Bella,1
10239,752483,38547779,2015-07-16,6863858,Vivien,"I didn't meet Vaibhav in person but he responded text very fast so checking in was extremely easy! The house is at a great location, easy getting downtown ( we didn't even have a car ). Vaibhav was nice, he let me leave my luggage at his place for couple hours after checking out. I would recommend his place to everyone! ",I would recommend his place to everyone,1
43883,762029,34682384,2015-06-10,34692073,Stephanie,"This was my first experience with AirB&B.  It was a great adventure for me. Jean-Marc made me feel very welcome and comfortable. I felt very safe there.
",It was a great adventure for me,1
16124,910784,16308119,2014-07-25,9504589,Thomas,"We felt very welcomed arriving at Brian & Nate's apartment. Everything is self explanatory and the apartment was comfortable for the four of us. The apartment is located in their house, at ground level. The neighborhood is residential, very green and quiet, and it's only a 7 minutes walk to Safeways if you need to buy groceries. Our hosts kindly let us use their gas barbecue for two nights, which we found very nice.",Our hosts kindly let us use their gas barbecue for two nights which we found very nice,1
31175,2955782,21759502,2014-10-23,2872483,Ingeborg,"Eine super und saubere Wohnung mit guten Matratzen und genug Küchengeschirr zum Kochen. Die Wohnlage ist einmalig. Wenn man sich an Obdachlose stört, nun ja, die sind viel in der Gegend. Uns hat es nichts ausgemacht, es ist nur traurig. Alle Touristenattraktionen sind innerhalb von Minuten zu Fuss zu erreichen. Ein Auto braucht man nicht. Vom Flughafen nimmt man die Light Rail ($2.75) und die Endstation ist nur ca. 3-5 Minuten von der Wohnung entfernt. Besser kann es nicht sein. Das gleiche mit der Metro, welche zur Space Needle fährt. 
A super and clean condo. The bed and the pullout sleeping sofa were comfortable to sleep on. The shower has nice pressure and quick hot water. Plenty of towels, bedding, pillows, hangers. I loved the gas stove. Jordan provides enough pots, pants, silverware, dishes, so that one can cook meals. Our first task was grocery shopping, a terrific food store was approx. 5 minutes away. We ate breakfast every day at home. Jordan's home could not be in a better location. Everything is minutes walking time away. If you want to get to the Space Needle, take the Metro, the station is a block away and the Metro ride took about 5 minutes. All other tourist attractions, we walked to....ferry building, the big wheel, stunning library, famous Seattle Underground, Pike Market where they throw the fish......all only minutes away.  And if you like to spend money on clothes or shoes, all well known stores are right there.  If you have time, go and see a theater show.   Thank you Jordan for offering your home as an Airbnb. ",Uns hat es nichts ausgemacht es ist nur traurig,0
74324,481220,21000359,2014-10-09,8058900,Cheryl,"Our host and the flat were delightful. I loved the neighborhood, too, and would consider staying there again. The kitchen was a bit sparce for a longer stay--e.g., no oven, few pots and pans, etc., but we didn't care to do much cooking so it was fine for us.

The bed was super comfy and in a windowless room, which I thought I might not like but, instead, I loved it! It was like a round enchanted cave.",I loved the neighborhood too and would consider staying there again,1
9378,6690388,46134695,2015-09-08,37340616,Susan,"Indeed a very cheerfel, quiet cottage.   A very warm and inviting cabin in a neighborhood, but had a feeling of being in a cabin in the woods.  Beautiful landscaping and peaceful, quiet surroundings.  The cabin was very clean, charming and cozy inside, stocked with  essentials and amenities.  I thoroughly enjoyed my stay.  My host was very helpful in helping me plan my trip and was available for any questions if need be.   It was a very nice retreat in a safe neighborhood and I hope to return next year.
Thank you Diann for all your help !!
",It was a very nice retreat in a safe neighborhood and I hope to return next year,1
15948,4531944,50789688,2015-10-14,1126242,Melissa,"Susan made me feel welcome from our first contact. She is a lovely host with just the right amount of involvement (attentive not intrusive), same goes for the check-in hosts, Myles and Katie. The cottage is perfect and pristine, and homey too with amenities (hairdryer and iron and more). It is well appointed with cooking ""gear"" if you're into that. The place is charming and so well situated. It feels private, and the grounds are aesthetically pleasing as well. The neighborhood offers so much and Susan was quick to give pointers. Fun neighborhood with tons of walking. Street parking is a breeze. I'd be delighted and honored to return.",Susan made me feel welcome from our first contact,1
61637,4841586,34669790,2015-06-10,18873657,Alejandro,"Perfect location, very close to Capitol Hill venues and life. Cute small house in the back area of a alley block across from a communal garden, quiet area. Key pick up and drop off was simple. The space had everything we needed and was great for our short stay in Seattle. ",Perfect location very close to Capitol Hill venues and life,1
6421,3592838,27490506,2015-03-06,3930779,Colan,Tony's place was the perfect getaway for my girlfriend and I for a weekend in Seattle. I called Tony the day we arrived in town to make arrangements to meet him at the condo. He responded to all enquiries promptly and met us at the agreed upon time. The apartment was great and the view was as advertised. I think the photos I took are even better than what is shown on the site. It's about 10 min walking distance to Pike Place Market. I also liked that a parking stall came with the rental. Saved a lot of hassle trying to park downtown. Would definitely recommend this condo if you want to be central in Seattle.,Would definitely recommend this condo if you want to be central in Seattle,1
83541,4053092,30817550,2015-04-27,20860577,Paul,"India was very welcoming and made sure we could get into her space at the time we wanted. The upstairs rooms were spacious, bright, clean, and felt very homey. The neighborhood is quiet with the old Ballard feel. We appreciated the hospitality and certainly would come again. ",India was very welcoming and made sure we could get into her space at the time we wanted,1
985,1707064,46599856,2015-09-12,39477567,Teri,Great apartment in the perfect location for walking all over Seattle. We loved our stay! Apartment was the perfect size and very comfortable.  Having the white noise machine was brilliant and necessary! The Upstairs was cozy and a cool place for a drink. Great restaurants in the area as well.,Having the white noise machine was brilliant and necessary The Upstairs was cozy and a cool place for a drink,1
31686,140331,23001573,2014-11-19,23542822,Bryan,"Had a great experience, super friendly and even got a ride on the way to the store. Lots of cool books in the room. Great spot, plan on returning.",Lots of cool books in the room,1
23437,6278191,43068963,2015-08-17,2590351,Jared,"The apartment was really wonderful and in a really great location. Its easy to/from the airport, and transportation to all the other neighborhoods in Seattle is a breeze.

The apartment was really clean and comfortable. We (my girlfriend and I) didn't spend much time there, but it was in great shape with extra clean towels and sheets.

We took off one star because communication leading up to our trip was difficult. Carlos didn't respond to email or text messages the day before, or the day of the trip, and we hadn't received any check-in instructions. This left us wondering if we had a place to stay as we headed to the airport in Tucson. As we were getting on the plane my phone buzzed with a AirBnb message from Carlos with the check-in instructions. Everything worked out fine, but the lack of response over those two days left us with a lot of anxiety.

After that everything was great. Getting into the apartment was easy and Carlos was very responsive once we were there. Check-out was also a breeze. Now that we know the drill, we would definitely stay here again.",We took off one star because communication leading up to our trip was difficult,-1
11616,1080097,38275178,2015-07-14,33514945,Brandon,"The Mission: Spent a long weekend in Seattle with my brother and a couple of buddies from college to attend some Seattle Mariners games and see the sights. 

The Host: Seattle's Unique Downtown Loft was the perfect place for us to stay. As soon as we arrived, our host treated us like family. She made sure we had everything we needed to enjoy our time in the loft. She gave us tips and suggestions on restaurants, neighborhoods, bars, and local festivals. In case you forget, she leaves you with a binder full of local information and restaurant delivery menus. She even drove us to the store to pick up snacks and beer! We could have walked, but thats just not their style at this place. They really make sure you are taken care of! They are also attentive to any needs you might have during your stay. 

The Loft: This place was perfect and exactly as advertised. We arrived to clean, well appointed, and definitely unique accommodations. We had a blast shooting pool and playing darts while we watched sports on the big screen HD TV. It was the perfect place to spend time with friends and family in-between going out to see everything Seattle has to offer. The chalkboard walls in the bathroom were a great touch and we left our share of graffiti all over them.

The Location: The Downtown Seattle location was perfect for us. Our main goal was to attend a couple of Seattle Mariners games, which we did, by simply walking about 50 yards from the Loft to the gates of SafeCo Field. It was awesome. It was also walking distance to Pike Place Market, the Space Needle, and a ton of bars and restaurants. When we didn't feel like walking, we never waited more than 5 minutes for an Über to swing by and scoop us up. 

The Wrap-Up: Seattle is an amazing city and this Downtown Loft is the best. 10/10 would stay again and again and again. Honestly, we didn't want to leave. 

Perfect For: Baseball games, Football games, Sightseeing, Family Reunions, Bachelor/Bachelorette Parties.

Thank you so much from all of us. We really had an amazing weekend and couldn't have asked for anything more, although if we did, I'm sure you would have accommodated! ",We really had an amazing weekend and couldnt have asked for anything more although if we did Im sure you would have accommodated,1
19118,2039149,53144314,2015-11-05,47455356,Steve,The house was perfect for what we needed and is as described. Blair was quick to respond to any questions and would stay in one of his properties again. The house was in a good neighbourhood and has a fantastic small coffee shop at the end of the street which did great espresso which Seattle is known for. Its a drive to Ballard area which has many top restaurants and bars.,Blair was quick to respond to any questions and would stay in one of his properties again,1
57567,1494828,19263087,2014-09-09,5603975,Corri,"This is the second time staying in a ""William""  accomodation.  I won't stay anywhere else when in Seattle.  I found my home away from home.  The accomodations are second to none and his hospitality surpasses everyone's expectations.  My son is now a part of Seattle because of his years at UW....andI now travel from the East and know I am home too especially staying at such a special apartment.

The apartment and location are phenominal.  Eastlake is the place to be adjacent to the UDistrict and to the City.  We have made it a tradition already to eat at 14 Carrot and Louisa's for breakfast and have dinner on the Lake at EastLake Grill.  We have made friends while walking along the water seeing the houseboats and bumping into neighbors with dogs and/or gardens.  

Whether staying in the 1 bedroom downstairs or this 2 bedroom the decor and amenities abound.  The apartments lack of nothing from shampoo to pot holders to 3d TV!  From the apartment everything is central yet not overwhelming like the UDistrict.  1.5 miles seems like a world away.

We ate out alot but were able to make a full 4 course meal with what William provides in the kitchen.  We also rented a movie and were completely comfortable snuggling up in the LR.  As a testiment to our happiness, my mom (70 years old) felt so at home she took a bubble bath every night in the tub, learned to love the innovation of the washer/dryer-in-one technology, and embraced what IKEA has to offer.  She didn't believe that William would supply the basics so she doubled up on toiletries and brought her hair dryer.  She even doubted the number of hangers in the closet as she always needed more before and he couldn't have a respectable iron for her pants.  Again she was wrong.....I loved saying ""I told you so"" because the closets had lots of hangers and a proper iron.  She is a William and Airbnb convert! 

I hesitate to share my secret hideaway and my home away from home as it has become but have to always rave about William's apartments and his personal touch.  I am so lucky to have made Seattle my second home because of my son but really its my second home because of William.


",I found my home away from home,1
